55,0.14352,0.45855,0.3146,-0.30075,-0.085317,0.38669,0.071076,0.51371,0.87137,0.69124,0.50215,0.39223
56,0.16053,0.50353,0.34251,-0.33182,-0.090705,0.42316,0.0305,0.48838,0.90246,0.73444,0.54455,0.43059
57,0.17667,0.54796,0.37073,-0.36218,-0.096692,0.45951,-0.014058,0.4554,0.92665,0.77365,0.58484,0.46784
58,0.19167,0.59128,0.39898,-0.3914,-0.10328,0.49534,-0.062214,0.41477,0.94322,0.80814,0.62239,0.50346
59,0.20529,0.63294,0.42697,-0.41908,-0.11045,0.53019,-0.11349,0.36664,0.95155,0.83725,0.6566,0.53695
60,0.21729,0.67236,0.45434,-0.44482,-0.11813,0.56363,-0.16732,0.31135,0.95117,0.86038,0.68692,0.56783
61,0.22748,0.709,0.48075,-0.46825,-0.12624,0.59519,-0.22311,0.24941,0.9418,0.87704,0.71283,0.59561
62,0.23573,0.74233,0.5058,-0.48903,-0.13465,0.62441,-0.28024,0.18148,0.92332,0.88685,0.7339,0.61987
63,0.24193,0.77186,0.5291,-0.50687,-0.1432,0.65084,-0.33804,0.10839,0.89583,0.88955,0.74976,0.64021
64,0.24605,0.79714,0.55026,-0.52153,-0.15173,0.67407,-0.39584,0.031124,0.85959,0.88502,0.76013,0.65631
65,0.24808,0.81781,0.56891,-0.53282,-0.16005,0.69373,-0.45293,-0.049245,0.81508,0.87329,0.76484,0.66792
66,0.24804,0.83355,0.58472,-0.54061,-0.16796,0.70949,-0.50857,-0.13153,0.76295,0.85451,0.76383,0.67488
67,0.24602,0.84415,0.59738,-0.54484,-0.17528,0.72109,-0.56198,-0.21449,0.70398,0.82899,0.75715,0.67712
68,0.24212,0.84945,0.60664,-0.54547,-0.18183,0.72832,-0.61239,-0.29683,0.63914,0.79717,0.74493,0.67466
69,0.23648,0.8494,0.61229,-0.54256,-0.18745,0.73106,-0.65904,-0.37727,0.56947,0.75958,0.72741,0.66759
70,0.22925,0.844,0.61418,-0.5362,-0.19197,0.72923,-0.70125,-0.45455,0.49615,0.71687,0.70493,0.65608
71,0.22064,0.83337,0.61222,-0.52654,-0.19526,0.72286,-0.73841,-0.52746,0.42037,0.66978,0.67788,0.64035
